Method, Number of Process/Threads, Height, Width, Real Time, User Time
Inline, 1, 20, 10, 0.000034, 0.000031
Inline, 1, 20, 10, 0.000044, 0.000042
Inline, 1, 20, 10, 0.000020, 0.000018
Inline, 1, 20, 10, 0.000024, 0.000022
Inline, 1, 20, 10, 0.000024, 0.000022
Inline, 1, 533, 800, 0.032055, 0.032016
Inline, 1, 533, 800, 0.031727, 0.031723
Inline, 1, 533, 800, 0.031942, 0.031862
Inline, 1, 533, 800, 0.031528, 0.031524
Inline, 1, 533, 800, 0.031833, 0.031761
Inline, 1, 4000, 3752, 1.058313, 1.058258
Inline, 1, 4000, 3752, 1.049423, 1.049406
Inline, 1, 4000, 3752, 1.055253, 1.055243
Inline, 1, 4000, 3752, 1.066323, 1.066312
Inline, 1, 4000, 3752, 1.056515, 1.056496
Inline, 1, 500, 925, 0.034342, 0.034339
Inline, 1, 500, 925, 0.034353, 0.034349
Inline, 1, 500, 925, 0.033786, 0.033782
Inline, 1, 500, 925, 0.033440, 0.033437
Inline, 1, 500, 925, 0.033630, 0.033626
Inline, 1, 4000, 6000, 1.744073, 1.744053
Inline, 1, 4000, 6000, 1.673566, 1.673346
Inline, 1, 4000, 6000, 1.703179, 1.703160
Inline, 1, 4000, 6000, 1.701754, 1.696776
Inline, 1, 4000, 6000, 1.700939, 1.700926
Inline, 1, 3648, 5472, 1.443264, 1.443237
Inline, 1, 3648, 5472, 1.407832, 1.407814
Inline, 1, 3648, 5472, 1.449240, 1.449218
Inline, 1, 3648, 5472, 1.424869, 1.424854
Inline, 1, 3648, 5472, 1.434473, 1.434455
Inline, 1, 3024, 4032, 0.904315, 0.904107
Inline, 1, 3024, 4032, 0.874653, 0.874643
Inline, 1, 3024, 4032, 0.890605, 0.890587
Inline, 1, 3024, 4032, 0.890492, 0.890477
Inline, 1, 3024, 4032, 0.886854, 0.886842
Inline, 1, 168, 299, 0.004879, 0.004876
Inline, 1, 168, 299, 0.004006, 0.004003
Inline, 1, 168, 299, 0.003867, 0.003865
Inline, 1, 168, 299, 0.005228, 0.005224
Inline, 1, 168, 299, 0.004549, 0.004546
Inline, 1, 1280, 1920, 0.172046, 0.172043
Inline, 1, 1280, 1920, 0.173679, 0.173668
Inline, 1, 1280, 1920, 0.172221, 0.172218
Inline, 1, 1280, 1920, 0.180366, 0.180341
Inline, 1, 1280, 1920, 0.172638, 0.172633
Multiprocess, 1, 20, 10, 0.001209, 0.000258
Multiprocess, 1, 20, 10, 0.001391, 0.000386
Multiprocess, 1, 20, 10, 0.001416, 0.000309
Multiprocess, 1, 20, 10, 0.001314, 0.000206
Multiprocess, 1, 20, 10, 0.001286, 0.000371
Multiprocess, 1, 533, 800, 0.040112, 0.005413
Multiprocess, 1, 533, 800, 0.042034, 0.007176
Multiprocess, 1, 533, 800, 0.037976, 0.005728
Multiprocess, 1, 533, 800, 0.041654, 0.005490
Multiprocess, 1, 533, 800, 0.041335, 0.005609
Multiprocess, 1, 4000, 3752, 1.140618, 0.172117
Multiprocess, 1, 4000, 3752, 1.131508, 0.173170
Multiprocess, 1, 4000, 3752, 1.145390, 0.172060
Multiprocess, 1, 4000, 3752, 1.158873, 0.187684
Multiprocess, 1, 4000, 3752, 1.163796, 0.177603
Multiprocess, 1, 500, 925, 0.047369, 0.005709
Multiprocess, 1, 500, 925, 0.047902, 0.005867
Multiprocess, 1, 500, 925, 0.040729, 0.005951
Multiprocess, 1, 500, 925, 0.048189, 0.005780
Multiprocess, 1, 500, 925, 0.046305, 0.006151
Multiprocess, 1, 4000, 6000, 1.847749, 0.284312
Multiprocess, 1, 4000, 6000, 1.837326, 0.278964
Multiprocess, 1, 4000, 6000, 1.864400, 0.284264
Multiprocess, 1, 4000, 6000, 1.856009, 0.277852
Multiprocess, 1, 4000, 6000, 1.830098, 0.284079
Multiprocess, 1, 3648, 5472, 1.553264, 0.243013
Multiprocess, 1, 3648, 5472, 1.542581, 0.240961
Multiprocess, 1, 3648, 5472, 1.547343, 0.242322
Multiprocess, 1, 3648, 5472, 1.553276, 0.243351
Multiprocess, 1, 3648, 5472, 1.563574, 0.244635
Multiprocess, 1, 3024, 4032, 0.962711, 0.153446
Multiprocess, 1, 3024, 4032, 0.988614, 0.162354
Multiprocess, 1, 3024, 4032, 1.053978, 0.168547
Multiprocess, 1, 3024, 4032, 1.038218, 0.169970
Multiprocess, 1, 3024, 4032, 1.010900, 0.163789
Multiprocess, 1, 168, 299, 0.005091, 0.001191
Multiprocess, 1, 168, 299, 0.007696, 0.000851
Multiprocess, 1, 168, 299, 0.009826, 0.001370
Multiprocess, 1, 168, 299, 0.007028, 0.001630
Multiprocess, 1, 168, 299, 0.007377, 0.001351
